行业主力净流出 TOP30 | 成交额TOP3 + 涨幅TOP5 | 北京时间 2026-07-16 11:13:12

排名  代码      名称                    涨跌幅      净流入  成交额#1                                成交额#2                                成交额#3                                涨幅#1                                涨幅#2                                涨幅#3                                涨幅#4                                涨幅#5                              
  16  BK1216    医药生物                 1.38%    -12.83亿  药明康德(603259) 128.85元 66.99亿       昭衍新药(603127) 55.19元 50.73亿        恒瑞医药(600276) 56.72元 43.29亿        九安医疗(002432) 73.69元 +10.00%      海南海药(000566) 5.67元 +10.10%       哈药股份(600664) 4.94元 +10.02%       创新医疗(002173) 17.44元 +10.03%      塞力医疗(603716) 16.12元 +10.03%    
  17  BK1206    基础化工                -0.21%    -11.69亿  多氟多(002407) 33.08元 16.33亿          东材科技(601208) 50.06元 14.68亿        昊华科技(600378) 49.90元 12.67亿        沃顿科技(000920) 14.15元 +10.03%      长裕集团(603407) 65.64元 +10.01%      道明光学(002632) 9.63元 +10.06%       艾艾精工(603580) 40.84元 +9.99%       天铁科技(300587) 4.06元 +14.37%     
  18  BK1205    机械设备                 0.09%    -11.58亿  华工科技(000988) 134.84元 56.65亿       埃斯顿(002747) 42.95元 35.50亿          精测电子(300567) 266.24元 33.50亿       合锻智能(603011) 24.32元 +10.00%      凤形股份(002760) 17.97元 +9.98%       N龙鑫(920117) 37.06元 +107.85%        凯尔达(688255) 26.74元 +11.65%        开创电气(301448) 44.32元 +10.83%    
  19  BK1237    自动化设备              -0.14%    -10.14亿  华工科技(000988) 134.83元 56.65亿       埃斯顿(002747) 42.95元 35.50亿          绿的谐波(688017) 389.01元 26.35亿       凯尔达(688255) 26.74元 +11.65%        新睿电子(920211) 157.21元 +6.95%      创世纪(300083) 12.40元 +6.90%         迈赫股份(301199) 19.96元 +5.61%       埃斯顿(002747) 42.95元 +5.01%       
  20  BK0427    公用事业                -0.48%    -10.12亿  长江电力(600900) 28.36元 21.77亿        华电辽能(600396) 12.40元 14.38亿        豫能控股(001896) 14.22元 12.81亿        湖南发展(000722) 12.68元 +5.67%       立新能源(001258) 7.16元 +4.68%        德龙汇能(000593) 22.30元 +3.43%       太阳能(000591) 4.38元 +2.82%          长源电力(000966) 4.13元 +2.23%      
  21  BK0546    玻璃玻纤                -1.65%    -10.06亿  中国巨石(600176) 49.42元 53.82亿        国际复材(301526) 35.70元 30.38亿        中材科技(002080) 62.36元 19.59亿        耀皮玻璃(600819) 5.15元 +1.98%        金晶科技(600586) 4.09元 +1.49%        凯盛新能(600876) 6.70元 +1.21%        振石股份(601112) 15.59元 +1.10%       北玻股份(002613) 3.24元 +0.31%      
  22  BK1208    建筑材料                 0.21%     -9.87亿  中国巨石(600176) 49.40元 53.83亿        国际复材(301526) 35.70元 30.38亿        中材科技(002080) 62.35元 19.60亿        兔 宝 宝(002043) 12.13元 +6.50%       万里石(002785) 39.49元 +4.55%         华立股份(603038) 15.05元 +4.37%       三棵树(603737) 23.70元 +3.58%         北新建材(000786) 18.20元 +2.54%     
  23  BK1462    玻纤制造                -3.31%     -9.69亿  中国巨石(600176) 49.42元 53.83亿        国际复材(301526) 35.72元 30.39亿        中材科技(002080) 62.35元 19.60亿        振石股份(601112) 15.59元 +1.10%       九鼎新材(002201) 8.07元 -0.25%        长海股份(300196) 18.88元 -3.08%       山东玻纤(605006) 15.33元 -3.28%       国际复材(301526) 35.72元 -3.46%     
  24  BK0428    电力                    -0.41%     -8.98亿  长江电力(600900) 28.36元 21.77亿        华电辽能(600396) 12.40元 14.39亿        豫能控股(001896) 14.22元 12.81亿        湖南发展(000722) 12.68元 +5.67%       立新能源(001258) 7.16元 +4.68%        太阳能(000591) 4.38元 +2.82%          世茂能源(605028) 24.87元 +2.64%       东望时代(600052) 3.73元 +2.19%      
  25  BK1033    电池                    -0.30%     -8.72亿  宁德时代(300750) 372.22元 50.53亿       铜冠铜箔(301217) 130.18元 28.82亿       鹏辉能源(300438) 62.67元 17.12亿        华盛锂电(688353) 93.82元 +11.27%      星云股份(300648) 37.94元 +3.80%       滨海能源(000695) 12.23元 +3.73%       领湃科技(300530) 16.42元 +3.66%       海科新源(301292) 57.72元 +2.69%     
  26  BK1038    光学光电子              -0.57%     -8.47亿  京东方Ａ(000725) 6.23元 81.54亿         TCL科技(000100) 5.04元 18.40亿          三安光电(600703) 13.94元 14.16亿        ST合力泰(002217) 1.57元 +8.28%        联建光电(300269) 4.87元 +4.06%        久量股份(300808) 19.88元 +3.38%       骏成科技(301106) 17.09元 +3.20%       纬达光电(920001) 12.14元 +2.88%     
  27  BK1409    激光设备                -2.20%     -8.17亿  华工科技(000988) 134.82元 56.68亿       大族激光(002008) 111.78元 25.47亿       杰普特(688025) 386.75元 8.35亿          金运激光(300220) 10.21元 +2.00%       光韵达(300227) 9.13元 +0.22%          ST逸飞(688646) 69.75元 -0.36%         德龙激光(688170) 59.08元 -0.77%       锐科激光(300747) 35.11元 -1.38%     
  28  BK1594    化学制剂                 1.22%     -7.84亿  恒瑞医药(600276) 56.77元 43.34亿        常山药业(300255) 30.60元 21.04亿        科伦药业(002422) 50.78元 19.37亿        海南海药(000566) 5.67元 +10.10%       哈药股份(600664) 4.94元 +10.02%       海创药业-U(688302) 43.36元 +9.80%     多瑞医药(301075) 65.69元 +9.12%       常山药业(300255) 30.55元 +6.45%     
  29  BK1600    医疗研发外包             2.85%     -7.64亿  药明康德(603259) 128.86元 67.07亿       昭衍新药(603127) 55.03元 50.76亿        康龙化成(300759) 39.56元 37.17亿        百奥赛图(688796) 145.00元 +9.91%      万邦医药(301520) 66.98元 +13.93%      普蕊斯(301257) 58.30元 +8.97%         昭衍新药(603127) 55.03元 +8.71%       泓博医药(301230) 34.81元 +7.57%     
  30  BK0475    银行Ⅱ                   -0.80%     -7.40亿  招商银行(600036) 37.70元 17.00亿        工商银行(601398) 7.44元 16.47亿         农业银行(601288) 6.27元 13.91亿         民生银行(600016) 3.47元 +0.00%        浙商银行(601916) 2.86元 +0.00%        郑州银行(002936) 1.76元 +0.00%        兰州银行(001227) 2.11元 +0.00%        紫金银行(601860) 2.60元 +0.00%      
