方向,板块排名,板块代码,板块名称,板块涨跌幅,板块主力净流入,排序口径,股票排名,股票代码,股票名称,现价,涨跌幅,成交额
净流出,7,BK0459,元件,-4.23%,-40.35亿,涨幅,3,600183,生益科技,152.43元,+3.06%,146.51亿
净流出,8,BK0478,有色金属,-1.96%,-39.06亿,成交额,1,601899,紫金矿业,28.83元,-0.79%,77.73亿
净流出,8,BK0478,有色金属,-1.96%,-39.06亿,成交额,2,000657,中钨高新,69.80元,-6.67%,47.93亿
净流出,8,BK0478,有色金属,-1.96%,-39.06亿,成交额,3,603993,洛阳钼业,17.91元,-1.65%,46.08亿
净流出,8,BK0478,有色金属,-1.96%,-39.06亿,涨幅,1,002379,宏桥控股,18.66元,+6.69%,23.06亿
净流出,8,BK0478,有色金属,-1.96%,-39.06亿,涨幅,2,605158,华达新材,6.69元,+6.36%,0.78亿
净流出,8,BK0478,有色金属,-1.96%,-39.06亿,涨幅,3,601388,怡球资源,3.05元,+5.17%,2.79亿
净流出,9,BK1325,半导体材料,-8.10%,-35.88亿,成交额,1,300666,江丰电子,282.14元,-9.39%,57.33亿
净流出,9,BK1325,半导体材料,-8.10%,-35.88亿,成交额,2,002409,雅克科技,171.30元,-8.64%,54.26亿
净流出,9,BK1325,半导体材料,-8.10%,-35.88亿,成交额,3,688126,沪硅产业,31.04元,-10.24%,51.54亿
净流出,9,BK1325,半导体材料,-8.10%,-35.88亿,涨幅,1,688146,中船特气,250.35元,+0.81%,35.51亿
净流出,9,BK1325,半导体材料,-8.10%,-35.88亿,涨幅,2,600641,先导基电,39.70元,-1.10%,25.55亿
净流出,9,BK1325,半导体材料,-8.10%,-35.88亿,涨幅,3,003026,中晶科技,34.70元,-1.62%,4.79亿
净流出,10,BK1335,面板,-3.26%,-35.10亿,成交额,1,000725,京东方Ａ,6.38元,-9.12%,197.57亿
净流出,10,BK1335,面板,-3.26%,-35.10亿,成交额,2,000100,TCL科技,5.02元,-2.14%,41.97亿
净流出,10,BK1335,面板,-3.26%,-35.10亿,成交额,3,001399,惠科股份,27.07元,-9.77%,28.62亿
净流出,10,BK1335,面板,-3.26%,-35.10亿,涨幅,1,002955,鸿合科技,28.81元,+2.34%,1.81亿
净流出,10,BK1335,面板,-3.26%,-35.10亿,涨幅,2,300120,经纬辉开,7.46元,+1.36%,3.15亿
净流出,10,BK1335,面板,-3.26%,-35.10亿,涨幅,3,000727,冠捷科技,2.26元,+0.89%,1.33亿
净流出,11,BK1037,消费电子,-1.37%,-33.87亿,成交额,1,000021,深科技,47.26元,-10.00%,90.81亿
净流出,11,BK1037,消费电子,-1.37%,-33.87亿,成交额,2,601138,工业富联,63.62元,-3.02%,59.25亿
净流出,11,BK1037,消费电子,-1.37%,-33.87亿,成交额,3,002475,立讯精密,60.47元,-1.95%,56.80亿
净流出,11,BK1037,消费电子,-1.37%,-33.87亿,涨幅,1,688007,光峰科技,12.54元,+9.62%,2.20亿
净流出,11,BK1037,消费电子,-1.37%,-33.87亿,涨幅,2,001314,亿道信息,61.96元,+5.79%,7.20亿
净流出,11,BK1037,消费电子,-1.37%,-33.87亿,涨幅,3,002925,盈趣科技,22.68元,+5.78%,3.77亿
净流出,12,BK1215,通信,-1.28%,-32.67亿,成交额,1,300308,中际旭创,1169.31元,-1.24%,292.82亿
净流出,12,BK1215,通信,-1.28%,-32.67亿,成交额,2,300502,新易盛,556.00元,-2.25%,249.52亿
净流出,12,BK1215,通信,-1.28%,-32.67亿,成交额,3,600487,亨通光电,71.05元,-4.48%,159.03亿
净流出,12,BK1215,通信,-1.28%,-32.67亿,涨幅,1,000889,中嘉博创,3.29元,+10.03%,0.85亿
净流出,12,BK1215,通信,-1.28%,-32.67亿,涨幅,2,300628,亿联网络,37.49元,+10.69%,9.45亿
净流出,12,BK1215,通信,-1.28%,-32.67亿,涨幅,3,601869,长飞光纤,425.45元,+6.31%,104.95亿
净流出,13,BK1338,消费电子零部件及组装,-1.78%,-31.57亿,成交额,1,000021,深科技,47.26元,-10.00%,90.81亿
净流出,13,BK1338,消费电子零部件及组装,-1.78%,-31.57亿,成交额,2,601138,工业富联,63.62元,-3.02%,59.25亿
净流出,13,BK1338,消费电子零部件及组装,-1.78%,-31.57亿,成交额,3,002475,立讯精密,60.47元,-1.95%,56.80亿
净流出,13,BK1338,消费电子零部件及组装,-1.78%,-31.57亿,涨幅,1,001314,亿道信息,61.96元,+5.79%,7.20亿
净流出,13,BK1338,消费电子零部件及组装,-1.78%,-31.57亿,涨幅,2,002925,盈趣科技,22.68元,+5.78%,3.77亿
净流出,13,BK1338,消费电子零部件及组装,-1.78%,-31.57亿,涨幅,3,688260,昀冢科技,95.88元,+4.76%,5.55亿
净流出,14,BK1329,集成电路制造,-6.16%,-30.04亿,成交额,1,688981,中芯国际,153.64元,-4.57%,129.24亿
净流出,14,BK1329,集成电路制造,-6.16%,-30.04亿,成交额,2,688347,华虹宏力,331.42元,-6.00%,78.42亿
净流出,14,BK1329,集成电路制造,-6.16%,-30.04亿,成交额,3,688820,盛合晶微,170.00元,-9.56%,40.97亿
净流出,14,BK1329,集成电路制造,-6.16%,-30.04亿,涨幅,1,688249,晶合集成,50.34元,-1.87%,20.94亿
净流出,14,BK1329,集成电路制造,-6.16%,-30.04亿,涨幅,2,688981,中芯国际,153.64元,-4.57%,129.24亿
净流出,14,BK1329,集成电路制造,-6.16%,-30.04亿,涨幅,3,688347,华虹宏力,331.42元,-6.00%,78.42亿
净流出,15,BK0448,通信设备,-1.60%,-29.44亿,成交额,1,300308,中际旭创,1169.31元,-1.24%,292.82亿
净流出,15,BK0448,通信设备,-1.60%,-29.44亿,成交额,2,300502,新易盛,556.00元,-2.25%,249.52亿
净流出,15,BK0448,通信设备,-1.60%,-29.44亿,成交额,3,600487,亨通光电,71.05元,-4.48%,159.03亿
净流出,15,BK0448,通信设备,-1.60%,-29.44亿,涨幅,1,300628,亿联网络,37.49元,+10.69%,9.45亿
净流出,15,BK0448,通信设备,-1.60%,-29.44亿,涨幅,2,601869,长飞光纤,425.45元,+6.31%,104.95亿
净流出,15,BK0448,通信设备,-1.60%,-29.44亿,涨幅,3,300638,广和通,18.18元,+4.30%,3.68亿
净流出,16,BK1340,印制电路板,-4.16%,-28.99亿,成交额,1,002384,东山精密,262.49元,+0.81%,372.58亿
净流出,16,BK1340,印制电路板,-4.16%,-28.99亿,成交额,2,600183,生益科技,152.43元,+3.06%,146.51亿
净流出,16,BK1340,印制电路板,-4.16%,-28.99亿,成交额,3,002463,沪电股份,137.23元,+0.07%,120.66亿
净流出,16,BK1340,印制电路板,-4.16%,-28.99亿,涨幅,1,002141,贤丰控股,5.61元,+10.00%,4.96亿
净流出,16,BK1340,印制电路板,-4.16%,-28.99亿,涨幅,2,001389,广合科技,196.50元,+5.64%,38.76亿
净流出,16,BK1340,印制电路板,-4.16%,-28.99亿,涨幅,3,600183,生益科技,152.43元,+3.06%,146.51亿
净流出,17,BK1326,半导体设备,-5.97%,-28.31亿,成交额,1,300604,长川科技,304.44元,-9.29%,107.87亿
净流出,17,BK1326,半导体设备,-5.97%,-28.31亿,成交额,2,688072,拓荆科技,774.00元,-8.94%,103.93亿
净流出,17,BK1326,半导体设备,-5.97%,-28.31亿,成交额,3,688012,中微公司,391.29元,-3.46%,103.84亿
净流出,17,BK1326,半导体设备,-5.97%,-28.31亿,涨幅,1,301297,富乐德,42.50元,+0.24%,7.09亿
净流出,17,BK1326,半导体设备,-5.97%,-28.31亿,涨幅,2,003043,华亚智能,83.03元,-1.51%,4.85亿
净流出,17,BK1326,半导体设备,-5.97%,-28.31亿,涨幅,3,688037,芯源微,372.86元,-2.52%,27.60亿
净流出,18,BK1027,小金属,-3.14%,-22.22亿,成交额,1,000657,中钨高新,69.80元,-6.67%,47.93亿
净流出,18,BK1027,小金属,-3.14%,-22.22亿,成交额,2,002428,云南锗业,87.83元,-7.32%,41.21亿
净流出,18,BK1027,小金属,-3.14%,-22.22亿,成交额,3,600549,厦门钨业,58.08元,-7.18%,33.72亿
净流出,18,BK1027,小金属,-3.14%,-22.22亿,涨幅,1,002978,安宁股份,26.04元,+3.01%,0.82亿
净流出,18,BK1027,小金属,-3.14%,-22.22亿,涨幅,2,600456,宝钛股份,28.02元,+2.19%,2.25亿
净流出,18,BK1027,小金属,-3.14%,-22.22亿,涨幅,3,600281,华阳新材,4.01元,+1.01%,0.35亿
净流出,19,BK1409,激光设备,-2.97%,-22.15亿,成交额,1,000988,华工科技,145.21元,-9.15%,91.99亿
净流出,19,BK1409,激光设备,-2.97%,-22.15亿,成交额,2,002008,大族激光,114.36元,-4.30%,54.18亿
净流出,19,BK1409,激光设备,-2.97%,-22.15亿,成交额,3,688025,杰普特,407.03元,-4.86%,14.28亿
净流出,19,BK1409,激光设备,-2.97%,-22.15亿,涨幅,1,688646,ST逸飞,70.00元,+8.43%,1.55亿
净流出,19,BK1409,激光设备,-2.97%,-22.15亿,涨幅,2,300220,金运激光,10.01元,+1.21%,0.24亿
净流出,19,BK1409,激光设备,-2.97%,-22.15亿,涨幅,3,300227,光韵达,9.11元,-1.41%,1.47亿
净流出,20,BK0475,银行Ⅱ,1.47%,-21.32亿,成交额,1,600036,招商银行,37.76元,+1.56%,43.38亿
净流出,20,BK0475,银行Ⅱ,1.47%,-21.32亿,成交额,2,601398,工商银行,7.51元,+0.13%,30.01亿
净流出,20,BK0475,银行Ⅱ,1.47%,-21.32亿,成交额,3,601166,兴业银行,17.81元,+2.06%,23.14亿
净流出,20,BK0475,银行Ⅱ,1.47%,-21.32亿,涨幅,1,601963,重庆银行,10.63元,+3.81%,2.41亿
净流出,20,BK0475,银行Ⅱ,1.47%,-21.32亿,涨幅,2,601838,成都银行,18.31元,+2.92%,5.27亿
净流出,20,BK0475,银行Ⅱ,1.47%,-21.32亿,涨幅,3,002958,青农商行,2.95元,+2.79%,2.86亿
净流出,21,BK1283,银行,1.47%,-21.32亿,成交额,1,600036,招商银行,37.76元,+1.56%,43.38亿
净流出,21,BK1283,银行,1.47%,-21.32亿,成交额,2,601398,工商银行,7.51元,+0.13%,30.01亿
净流出,21,BK1283,银行,1.47%,-21.32亿,成交额,3,601166,兴业银行,17.81元,+2.06%,23.14亿
净流出,21,BK1283,银行,1.47%,-21.32亿,涨幅,1,601963,重庆银行,10.63元,+3.81%,2.41亿
净流出,21,BK1283,银行,1.47%,-21.32亿,涨幅,2,601838,成都银行,18.31元,+2.92%,5.27亿
净流出,21,BK1283,银行,1.47%,-21.32亿,涨幅,3,002958,青农商行,2.95元,+2.79%,2.86亿
净流出,22,BK1591,通信网络设备及器件,-2.43%,-18.30亿,成交额,1,300308,中际旭创,1169.31元,-1.24%,292.82亿
净流出,22,BK1591,通信网络设备及器件,-2.43%,-18.30亿,成交额,2,300502,新易盛,556.00元,-2.25%,249.52亿
净流出,22,BK1591,通信网络设备及器件,-2.43%,-18.30亿,成交额,3,002281,光迅科技,214.97元,-7.72%,110.24亿
净流出,22,BK1591,通信网络设备及器件,-2.43%,-18.30亿,涨幅,1,301165,锐捷网络,100.70元,+1.90%,29.89亿
净流出,22,BK1591,通信网络设备及器件,-2.43%,-18.30亿,涨幅,2,300134,大富科技,7.76元,+1.44%,0.78亿
净流出,22,BK1591,通信网络设备及器件,-2.43%,-18.30亿,涨幅,3,300098,高新兴,4.35元,+1.16%,1.32亿
净流出,23,BK1206,基础化工,0.03%,-17.64亿,成交额,1,002407,多氟多,33.88元,-6.10%,50.70亿
净流出,23,BK1206,基础化工,0.03%,-17.64亿,成交额,2,300821,东岳硅材,19.51元,-16.01%,33.94亿
净流出,23,BK1206,基础化工,0.03%,-17.64亿,成交额,3,601208,东材科技,51.49元,-4.56%,31.94亿
净流出,23,BK1206,基础化工,0.03%,-17.64亿,涨幅,1,600227,赤天化,2.92元,+10.19%,4.79亿
净流出,23,BK1206,基础化工,0.03%,-17.64亿,涨幅,2,600746,江苏索普,6.31元,+9.93%,2.78亿
净流出,23,BK1206,基础化工,0.03%,-17.64亿,涨幅,3,600844,金煤科技,2.97元,+10.00%,2.64亿
净流出,24,BK1232,航天装备Ⅱ,-3.61%,-17.37亿,成交额,1,600118,中国卫星,73.92元,-10.00%,64.27亿
净流出,24,BK1232,航天装备Ⅱ,-3.61%,-17.37亿,成交额,2,600879,航天电子,17.38元,-9.99%,35.64亿
净流出,24,BK1232,航天装备Ⅱ,-3.61%,-17.37亿,成交额,3,601698,中国卫通,27.83元,-3.74%,13.42亿
净流出,24,BK1232,航天装备Ⅱ,-3.61%,-17.37亿,涨幅,1,688523,航天环宇,51.45元,+2.67%,5.15亿
净流出,24,BK1232,航天装备Ⅱ,-3.61%,-17.37亿,涨幅,2,003009,中天火箭,57.37元,+1.54%,5.08亿
净流出,24,BK1232,航天装备Ⅱ,-3.61%,-17.37亿,涨幅,3,300722,新余国科,20.47元,+0.44%,0.58亿
净流出,25,BK1385,航天装备Ⅲ,-3.61%,-17.37亿,成交额,1,600118,中国卫星,73.92元,-10.00%,64.27亿
净流出,25,BK1385,航天装备Ⅲ,-3.61%,-17.37亿,成交额,2,600879,航天电子,17.38元,-9.99%,35.64亿
净流出,25,BK1385,航天装备Ⅲ,-3.61%,-17.37亿,成交额,3,601698,中国卫通,27.83元,-3.74%,13.42亿
净流出,25,BK1385,航天装备Ⅲ,-3.61%,-17.37亿,涨幅,1,688523,航天环宇,51.45元,+2.67%,5.15亿
净流出,25,BK1385,航天装备Ⅲ,-3.61%,-17.37亿,涨幅,2,003009,中天火箭,57.37元,+1.54%,5.08亿
净流出,25,BK1385,航天装备Ⅲ,-3.61%,-17.37亿,涨幅,3,300722,新余国科,20.47元,+0.44%,0.58亿
净流出,26,BK1233,军工电子Ⅱ,-2.07%,-17.23亿,成交额,1,688629,华丰科技,168.00元,-6.85%,47.10亿
净流出,26,BK1233,军工电子Ⅱ,-2.07%,-17.23亿,成交额,2,001270,铖昌科技,121.61元,-9.72%,20.45亿
净流出,26,BK1233,军工电子Ⅱ,-2.07%,-17.23亿,成交额,3,002414,高德红外,13.32元,-2.06%,16.46亿
净流出,26,BK1233,军工电子Ⅱ,-2.07%,-17.23亿,涨幅,1,600562,国睿科技,21.15元,+2.82%,2.08亿
净流出,26,BK1233,军工电子Ⅱ,-2.07%,-17.23亿,涨幅,2,688011,新光光电,59.06元,+2.55%,1.17亿
净流出,26,BK1233,军工电子Ⅱ,-2.07%,-17.23亿,涨幅,3,002977,*ST天箭,23.74元,+1.76%,0.22亿
净流出,27,BK1386,军工电子Ⅲ,-2.07%,-17.23亿,成交额,1,688629,华丰科技,168.00元,-6.85%,47.10亿
净流出,27,BK1386,军工电子Ⅲ,-2.07%,-17.23亿,成交额,2,001270,铖昌科技,121.61元,-9.72%,20.45亿
净流出,27,BK1386,军工电子Ⅲ,-2.07%,-17.23亿,成交额,3,002414,高德红外,13.32元,-2.06%,16.46亿
净流出,27,BK1386,军工电子Ⅲ,-2.07%,-17.23亿,涨幅,1,600562,国睿科技,21.15元,+2.82%,2.08亿
净流出,27,BK1386,军工电子Ⅲ,-2.07%,-17.23亿,涨幅,2,688011,新光光电,59.06元,+2.55%,1.17亿
净流出,27,BK1386,军工电子Ⅲ,-2.07%,-17.23亿,涨幅,3,002977,*ST天箭,23.74元,+1.76%,0.22亿
净流出,28,BK1200,电力设备,-0.75%,-15.38亿,成交额,1,300750,宁德时代,373.00元,+2.47%,134.40亿
净流出,28,BK1200,电力设备,-0.75%,-15.38亿,成交额,2,002851,麦格米特,168.63元,-2.05%,78.01亿
净流出,28,BK1200,电力设备,-0.75%,-15.38亿,成交额,3,300274,阳光电源,108.95元,+0.61%,59.36亿
净流出,28,BK1200,电力设备,-0.75%,-15.38亿,涨幅,1,300105,龙源技术,8.66元,+10.18%,5.20亿
净流出,28,BK1200,电力设备,-0.75%,-15.38亿,涨幅,2,002980,华盛昌,102.14元,+10.01%,5.18亿
净流出,28,BK1200,电力设备,-0.75%,-15.38亿,涨幅,3,600732,爱旭股份,12.44元,+9.99%,4.52亿
净流出,29,BK1015,能源金属,-3.50%,-13.56亿,成交额,1,002466,天齐锂业,47.43元,+0.17%,36.27亿
净流出,29,BK1015,能源金属,-3.50%,-13.56亿,成交额,2,603799,华友钴业,39.88元,-3.67%,20.82亿
净流出,29,BK1015,能源金属,-3.50%,-13.56亿,成交额,3,002460,赣锋锂业,51.50元,-1.72%,20.63亿
净流出,29,BK1015,能源金属,-3.50%,-13.56亿,涨幅,1,002466,天齐锂业,47.43元,+0.17%,36.27亿
净流出,29,BK1015,能源金属,-3.50%,-13.56亿,涨幅,2,300618,寒锐钴业,32.96元,-0.51%,1.30亿
净流出,29,BK1015,能源金属,-3.50%,-13.56亿,涨幅,3,002460,赣锋锂业,51.50元,-1.72%,20.63亿
净流出,30,BK1592,通信线缆及配套,-2.03%,-13.34亿,成交额,1,600487,亨通光电,71.05元,-4.48%,159.03亿
净流出,30,BK1592,通信线缆及配套,-2.03%,-13.34亿,成交额,2,601869,长飞光纤,425.45元,+6.31%,104.95亿
净流出,30,BK1592,通信线缆及配套,-2.03%,-13.34亿,成交额,3,600522,XD中天科,40.70元,-4.44%,88.35亿
净流出,30,BK1592,通信线缆及配套,-2.03%,-13.34亿,涨幅,1,601869,长飞光纤,425.45元,+6.31%,104.95亿
净流出,30,BK1592,通信线缆及配套,-2.03%,-13.34亿,涨幅,2,688143,长盈通,127.10元,-0.39%,13.13亿
净流出,30,BK1592,通信线缆及配套,-2.03%,-13.34亿,涨幅,3,000586,汇源通信,11.70元,-0.51%,0.65亿
