方向,板块排名,板块代码,板块名称,板块涨跌幅,板块主力净流入,排序口径,股票排名,股票代码,股票名称,现价,涨跌幅,成交额
净流入,9,BK0486,传媒,2.78%,+27.56亿,成交额,3,300058,蓝色光标,12.68元,+2.09%,34.93亿
净流入,9,BK0486,传媒,2.78%,+27.56亿,涨幅,1,002558,巨人网络,29.56元,+10.01%,42.56亿
净流入,9,BK0486,传媒,2.78%,+27.56亿,涨幅,2,002517,恺英网络,17.18元,+9.99%,19.90亿
净流入,9,BK0486,传媒,2.78%,+27.56亿,涨幅,3,002739,儒意电影,9.38元,+9.96%,8.92亿
净流入,10,BK1301,游戏Ⅲ,3.80%,+17.62亿,成交额,1,002558,巨人网络,29.56元,+10.01%,42.56亿
净流入,10,BK1301,游戏Ⅲ,3.80%,+17.62亿,成交额,2,002602,世纪华通,14.26元,+5.01%,31.97亿
净流入,10,BK1301,游戏Ⅲ,3.80%,+17.62亿,成交额,3,002517,恺英网络,17.18元,+9.99%,19.90亿
净流入,10,BK1301,游戏Ⅲ,3.80%,+17.62亿,涨幅,1,002558,巨人网络,29.56元,+10.01%,42.56亿
净流入,10,BK1301,游戏Ⅲ,3.80%,+17.62亿,涨幅,2,002517,恺英网络,17.18元,+9.99%,19.90亿
净流入,10,BK1301,游戏Ⅲ,3.80%,+17.62亿,涨幅,3,603444,吉比特,366.44元,+7.87%,12.20亿
净流入,11,BK1046,游戏Ⅱ,3.80%,+17.62亿,成交额,1,002558,巨人网络,29.56元,+10.01%,42.56亿
净流入,11,BK1046,游戏Ⅱ,3.80%,+17.62亿,成交额,2,002602,世纪华通,14.26元,+5.01%,31.97亿
净流入,11,BK1046,游戏Ⅱ,3.80%,+17.62亿,成交额,3,002517,恺英网络,17.18元,+9.99%,19.90亿
净流入,11,BK1046,游戏Ⅱ,3.80%,+17.62亿,涨幅,1,002558,巨人网络,29.56元,+10.01%,42.56亿
净流入,11,BK1046,游戏Ⅱ,3.80%,+17.62亿,涨幅,2,002517,恺英网络,17.18元,+9.99%,19.90亿
净流入,11,BK1046,游戏Ⅱ,3.80%,+17.62亿,涨幅,3,603444,吉比特,366.44元,+7.87%,12.20亿
净流入,12,BK0438,食品饮料,2.81%,+17.41亿,成交额,1,600519,贵州茅台,1251.06元,+2.98%,89.23亿
净流入,12,BK0438,食品饮料,2.81%,+17.41亿,成交额,2,000858,五 粮 液,76.40元,+4.09%,48.06亿
净流入,12,BK0438,食品饮料,2.81%,+17.41亿,成交额,3,600186,莲花控股,10.25元,+3.02%,28.23亿
净流入,12,BK0438,食品饮料,2.81%,+17.41亿,涨幅,1,000596,古井贡酒,88.53元,+10.00%,6.30亿
净流入,12,BK0438,食品饮料,2.81%,+17.41亿,涨幅,2,600199,金种子酒,6.94元,+9.98%,2.21亿
净流入,12,BK0438,食品饮料,2.81%,+17.41亿,涨幅,3,605089,味知香,20.19元,+10.03%,0.51亿
净流入,13,BK1575,白酒Ⅲ,5.08%,+15.41亿,成交额,1,600519,贵州茅台,1251.06元,+2.98%,89.23亿
净流入,13,BK1575,白酒Ⅲ,5.08%,+15.41亿,成交额,2,000858,五 粮 液,76.40元,+4.09%,48.06亿
净流入,13,BK1575,白酒Ⅲ,5.08%,+15.41亿,成交额,3,600809,山西汾酒,118.25元,+7.01%,24.00亿
净流入,13,BK1575,白酒Ⅲ,5.08%,+15.41亿,涨幅,1,000596,古井贡酒,88.53元,+10.00%,6.30亿
净流入,13,BK1575,白酒Ⅲ,5.08%,+15.41亿,涨幅,2,600199,金种子酒,6.94元,+9.98%,2.21亿
净流入,13,BK1575,白酒Ⅲ,5.08%,+15.41亿,涨幅,3,000568,泸州老窖,83.12元,+7.04%,21.66亿
净流入,14,BK1277,白酒Ⅱ,5.08%,+15.41亿,成交额,1,600519,贵州茅台,1251.06元,+2.98%,89.23亿
净流入,14,BK1277,白酒Ⅱ,5.08%,+15.41亿,成交额,2,000858,五 粮 液,76.40元,+4.09%,48.06亿
净流入,14,BK1277,白酒Ⅱ,5.08%,+15.41亿,成交额,3,600809,山西汾酒,118.25元,+7.01%,24.00亿
净流入,14,BK1277,白酒Ⅱ,5.08%,+15.41亿,涨幅,1,000596,古井贡酒,88.53元,+10.00%,6.30亿
净流入,14,BK1277,白酒Ⅱ,5.08%,+15.41亿,涨幅,2,600199,金种子酒,6.94元,+9.98%,2.21亿
净流入,14,BK1277,白酒Ⅱ,5.08%,+15.41亿,涨幅,3,000568,泸州老窖,83.12元,+7.04%,21.66亿
净流入,15,BK0737,软件开发,1.18%,+11.54亿,成交额,1,300033,同花顺,224.30元,+3.04%,43.93亿
净流入,15,BK0737,软件开发,1.18%,+11.54亿,成交额,2,300209,行云科技,28.69元,-5.50%,37.77亿
净流入,15,BK0737,软件开发,1.18%,+11.54亿,成交额,3,688111,金山办公,236.71元,+6.32%,30.77亿
净流入,15,BK0737,软件开发,1.18%,+11.54亿,涨幅,1,300561,汇金科技,17.93元,+13.12%,9.08亿
净流入,15,BK0737,软件开发,1.18%,+11.54亿,涨幅,2,300369,绿盟科技,7.48元,+7.63%,8.93亿
净流入,15,BK0737,软件开发,1.18%,+11.54亿,涨幅,3,688111,金山办公,236.71元,+6.32%,30.77亿
净流入,16,BK1041,医疗器械,2.33%,+10.08亿,成交额,1,300760,迈瑞医疗,146.00元,+4.32%,27.67亿
净流入,16,BK1041,医疗器械,2.33%,+10.08亿,成交额,2,688271,联影医疗,109.00元,-1.10%,11.71亿
净流入,16,BK1041,医疗器械,2.33%,+10.08亿,成交额,3,688068,热景生物,139.00元,+11.15%,11.52亿
净流入,16,BK1041,医疗器械,2.33%,+10.08亿,涨幅,1,603387,基蛋生物,9.23元,+10.01%,2.31亿
净流入,16,BK1041,医疗器械,2.33%,+10.08亿,涨幅,2,002432,九安医疗,66.99元,+10.00%,2.18亿
净流入,16,BK1041,医疗器械,2.33%,+10.08亿,涨幅,3,002382,蓝帆医疗,5.96元,+9.96%,1.92亿
净流入,17,BK1303,锂电池,-0.97%,+9.65亿,成交额,1,300750,宁德时代,373.00元,+2.47%,134.40亿
净流入,17,BK1303,锂电池,-0.97%,+9.65亿,成交额,2,301217,铜冠铜箔,127.40元,-5.07%,39.77亿
净流入,17,BK1303,锂电池,-0.97%,+9.65亿,成交额,3,301511,德福科技,111.80元,-2.78%,30.83亿
净流入,17,BK1303,锂电池,-0.97%,+9.65亿,涨幅,1,002074,国轩高科,26.25元,+4.79%,12.83亿
净流入,17,BK1303,锂电池,-0.97%,+9.65亿,涨幅,2,300750,宁德时代,373.00元,+2.47%,134.40亿
净流入,17,BK1303,锂电池,-0.97%,+9.65亿,涨幅,3,688567,孚能科技,9.26元,+1.65%,1.08亿
净流入,18,BK1213,商贸零售,2.35%,+8.44亿,成交额,1,601888,中国中免,54.41元,+6.85%,38.37亿
净流入,18,BK1213,商贸零售,2.35%,+8.44亿,成交额,2,600415,小商品城,10.43元,+5.89%,10.90亿
净流入,18,BK1213,商贸零售,2.35%,+8.44亿,成交额,3,000759,中百集团,6.87元,+1.78%,10.85亿
净流入,18,BK1213,商贸零售,2.35%,+8.44亿,涨幅,1,002640,跨境通,3.14元,+10.18%,5.12亿
净流入,18,BK1213,商贸零售,2.35%,+8.44亿,涨幅,2,600857,宁波中百,21.03元,+9.99%,2.36亿
净流入,18,BK1213,商贸零售,2.35%,+8.44亿,涨幅,3,600785,新华百货,8.47元,+10.00%,2.25亿
净流入,19,BK1222,影视院线,3.83%,+8.35亿,成交额,1,300251,光线传媒,12.39元,+7.65%,13.92亿
净流入,19,BK1222,影视院线,3.83%,+8.35亿,成交额,2,002739,儒意电影,9.38元,+9.96%,8.92亿
净流入,19,BK1222,影视院线,3.83%,+8.35亿,成交额,3,600977,中国电影,12.60元,+4.22%,6.74亿
净流入,19,BK1222,影视院线,3.83%,+8.35亿,涨幅,1,002739,儒意电影,9.38元,+9.96%,8.92亿
净流入,19,BK1222,影视院线,3.83%,+8.35亿,涨幅,2,300528,幸福蓝海,16.99元,+19.99%,6.33亿
净流入,19,BK1222,影视院线,3.83%,+8.35亿,涨幅,3,300251,光线传媒,12.39元,+7.65%,13.92亿
净流入,20,BK1613,铝,0.57%,+7.54亿,成交额,1,601600,中国铝业,8.98元,+1.35%,42.83亿
净流入,20,BK1613,铝,0.57%,+7.54亿,成交额,2,000807,云铝股份,26.10元,+4.48%,41.19亿
净流入,20,BK1613,铝,0.57%,+7.54亿,成交额,3,002532,天山铝业,12.75元,+4.08%,30.80亿
净流入,20,BK1613,铝,0.57%,+7.54亿,涨幅,1,002379,宏桥控股,18.66元,+6.69%,23.06亿
净流入,20,BK1613,铝,0.57%,+7.54亿,涨幅,2,601388,怡球资源,3.05元,+5.17%,2.79亿
净流入,20,BK1613,铝,0.57%,+7.54亿,涨幅,3,000807,云铝股份,26.10元,+4.48%,41.19亿
净流入,21,BK1044,生物制品,2.87%,+7.49亿,成交额,1,603087,甘李药业,69.69元,-0.44%,21.23亿
净流入,21,BK1044,生物制品,2.87%,+7.49亿,成交额,2,688331,荣昌生物,142.00元,+5.03%,20.74亿
净流入,21,BK1044,生物制品,2.87%,+7.49亿,成交额,3,300142,沃森生物,13.79元,+2.45%,19.18亿
净流入,21,BK1044,生物制品,2.87%,+7.49亿,涨幅,1,688506,百利天恒,333.58元,+9.69%,13.42亿
净流入,21,BK1044,生物制品,2.87%,+7.49亿,涨幅,2,688488,艾迪药业,17.17元,+9.22%,6.15亿
净流入,21,BK1044,生物制品,2.87%,+7.49亿,涨幅,3,600739,辽宁成大,10.95元,+7.04%,3.91亿
净流入,22,BK0458,仪器仪表,0.06%,+7.24亿,成交额,1,688627,精智达,599.00元,-1.64%,39.08亿
净流入,22,BK0458,仪器仪表,0.06%,+7.24亿,成交额,2,688808,联讯仪器,2067.02元,-1.77%,20.98亿
净流入,22,BK0458,仪器仪表,0.06%,+7.24亿,成交额,3,300720,海川智能,90.00元,-1.70%,12.72亿
净流入,22,BK0458,仪器仪表,0.06%,+7.24亿,涨幅,1,920476,海能技术,23.07元,+11.45%,0.61亿
净流入,22,BK0458,仪器仪表,0.06%,+7.24亿,涨幅,2,301197,工大科雅,23.62元,+7.27%,1.58亿
净流入,22,BK0458,仪器仪表,0.06%,+7.24亿,涨幅,3,688115,DR思林杰,53.32元,+7.24%,2.50亿
净流入,23,BK1596,其他生物制品,2.87%,+6.52亿,成交额,1,603087,甘李药业,69.69元,-0.44%,21.23亿
净流入,23,BK1596,其他生物制品,2.87%,+6.52亿,成交额,2,688331,荣昌生物,142.00元,+5.03%,20.74亿
净流入,23,BK1596,其他生物制品,2.87%,+6.52亿,成交额,3,688336,三生国健,53.78元,+2.81%,14.32亿
净流入,23,BK1596,其他生物制品,2.87%,+6.52亿,涨幅,1,688506,百利天恒,333.58元,+9.69%,13.42亿
净流入,23,BK1596,其他生物制品,2.87%,+6.52亿,涨幅,2,688488,艾迪药业,17.17元,+9.22%,6.15亿
净流入,23,BK1596,其他生物制品,2.87%,+6.52亿,涨幅,3,920547,无锡晶海,19.21元,+6.96%,0.43亿
净流入,24,BK1358,保险Ⅲ,3.34%,+6.41亿,成交额,1,601318,中国平安,50.95元,+2.72%,64.86亿
净流入,24,BK1358,保险Ⅲ,3.34%,+6.41亿,成交额,2,601628,中国人寿,40.42元,+4.39%,33.60亿
净流入,24,BK1358,保险Ⅲ,3.34%,+6.41亿,成交额,3,601601,中国太保,31.36元,+4.46%,28.56亿
净流入,24,BK1358,保险Ⅲ,3.34%,+6.41亿,涨幅,1,601601,中国太保,31.36元,+4.46%,28.56亿
净流入,24,BK1358,保险Ⅲ,3.34%,+6.41亿,涨幅,2,601628,中国人寿,40.42元,+4.39%,33.60亿
净流入,24,BK1358,保险Ⅲ,3.34%,+6.41亿,涨幅,3,601319,中国人保,7.41元,+3.49%,10.79亿
净流入,25,BK0474,保险Ⅱ,3.34%,+6.41亿,成交额,1,601318,中国平安,50.95元,+2.72%,64.86亿
净流入,25,BK0474,保险Ⅱ,3.34%,+6.41亿,成交额,2,601628,中国人寿,40.42元,+4.39%,33.60亿
净流入,25,BK0474,保险Ⅱ,3.34%,+6.41亿,成交额,3,601601,中国太保,31.36元,+4.46%,28.56亿
净流入,25,BK0474,保险Ⅱ,3.34%,+6.41亿,涨幅,1,601601,中国太保,31.36元,+4.46%,28.56亿
净流入,25,BK0474,保险Ⅱ,3.34%,+6.41亿,涨幅,2,601628,中国人寿,40.42元,+4.39%,33.60亿
净流入,25,BK0474,保险Ⅱ,3.34%,+6.41亿,涨幅,3,601319,中国人保,7.41元,+3.49%,10.79亿
净流入,26,BK0545,通用设备,-0.31%,+6.31亿,成交额,1,688627,精智达,599.00元,-1.64%,39.08亿
净流入,26,BK0545,通用设备,-0.31%,+6.31亿,成交额,2,688333,铂力特,116.20元,+16.71%,37.78亿
净流入,26,BK0545,通用设备,-0.31%,+6.31亿,成交额,3,000811,冰轮环境,50.35元,-3.17%,26.36亿
净流入,26,BK0545,通用设备,-0.31%,+6.31亿,涨幅,1,603969,银龙股份,7.80元,+10.01%,1.78亿
净流入,26,BK0545,通用设备,-0.31%,+6.31亿,涨幅,2,688333,铂力特,116.20元,+16.71%,37.78亿
净流入,26,BK0545,通用设备,-0.31%,+6.31亿,涨幅,3,688433,华曙高科,96.65元,+15.00%,10.15亿
净流入,27,BK1262,乘用车,2.47%,+6.25亿,成交额,1,002594,比亚迪,91.76元,+1.75%,47.34亿
净流入,27,BK1262,乘用车,2.47%,+6.25亿,成交额,2,601127,赛力斯,55.89元,+4.70%,22.89亿
净流入,27,BK1262,乘用车,2.47%,+6.25亿,成交额,3,000625,长安汽车,7.15元,+3.03%,7.07亿
净流入,27,BK1262,乘用车,2.47%,+6.25亿,涨幅,1,601127,赛力斯,55.89元,+4.70%,22.89亿
净流入,27,BK1262,乘用车,2.47%,+6.25亿,涨幅,2,601633,长城汽车,15.58元,+3.66%,3.41亿
净流入,27,BK1262,乘用车,2.47%,+6.25亿,涨幅,3,000625,长安汽车,7.15元,+3.03%,7.07亿
净流入,28,BK1448,横向通用软件,1.59%,+5.97亿,成交额,1,688111,金山办公,236.71元,+6.32%,30.77亿
净流入,28,BK1448,横向通用软件,1.59%,+5.97亿,成交额,2,300454,深信服,108.80元,+2.67%,19.69亿
净流入,28,BK1448,横向通用软件,1.59%,+5.97亿,成交额,3,002230,科大讯飞,41.35元,+0.41%,16.00亿
净流入,28,BK1448,横向通用软件,1.59%,+5.97亿,涨幅,1,300369,绿盟科技,7.48元,+7.63%,8.93亿
净流入,28,BK1448,横向通用软件,1.59%,+5.97亿,涨幅,2,688111,金山办公,236.71元,+6.32%,30.77亿
净流入,28,BK1448,横向通用软件,1.59%,+5.97亿,涨幅,3,688225,亚信安全,13.20元,+5.35%,1.01亿
净流入,29,BK1408,机器人,1.04%,+5.76亿,成交额,1,688017,绿的谐波,386.08元,-0.20%,47.10亿
净流入,29,BK1408,机器人,1.04%,+5.76亿,成交额,2,002747,埃斯顿,40.90元,+6.51%,46.27亿
净流入,29,BK1408,机器人,1.04%,+5.76亿,成交额,3,300607,拓斯达,36.63元,+0.47%,13.27亿
净流入,29,BK1408,机器人,1.04%,+5.76亿,涨幅,1,002747,埃斯顿,40.90元,+6.51%,46.27亿
净流入,29,BK1408,机器人,1.04%,+5.76亿,涨幅,2,688218,江苏北人,45.69元,+5.89%,2.40亿
净流入,29,BK1408,机器人,1.04%,+5.76亿,涨幅,3,688090,瑞松科技,89.91元,+3.83%,9.15亿
净流入,30,BK1595,原料药,3.71%,+5.61亿,成交额,1,603538,美诺华,39.00元,+10.01%,38.66亿
净流入,30,BK1595,原料药,3.71%,+5.61亿,成交额,2,300765,石药创新,42.00元,+12.33%,13.99亿
