行业主力净流入 TOP30 | 成交额TOP3 + 涨幅TOP5 | 20260716_104158

排名  代码      名称                    涨跌幅      净流入  成交额#1                                成交额#2                                成交额#3                                涨幅#1                                涨幅#2                                涨幅#3                                涨幅#4                                涨幅#5                              
  16  BK1329    集成电路制造            -0.19%     +4.48亿  中芯国际(688981) 156.86元 78.73亿       华虹宏力(688347) 340.00元 48.92亿       盛合晶微(688820) 169.90元 14.76亿       华虹宏力(688347) 339.61元 +2.47%      中芯国际(688981) 156.86元 +2.10%      晶合集成(688249) 50.62元 +0.56%       灿芯股份(688691) 96.67元 +0.19%       赛微电子(300456) 34.17元 +0.12%     
  17  BK1593    通信终端及配件           0.79%     +3.56亿  剑桥科技(603083) 207.78元 23.20亿       广和通(300638) 20.65元 8.50亿           移远通信(603236) 53.60元 5.80亿         美格智能(002881) 39.05元 +10.00%      广和通(300638) 20.65元 +13.59%        利尔达(920249) 9.43元 +6.07%          移远通信(603236) 53.60元 +5.66%       楚天龙(003040) 10.39元 +2.77%       
  18  BK1202    房地产                   0.79%     +3.44亿  万通发展(600246) 19.78元 10.60亿        合肥城建(002208) 15.35元 8.73亿         盈新发展(000620) 3.15元 6.64亿          万通发展(600246) 19.78元 +10.01%      空港股份(600463) 8.35元 +6.51%        阳光股份(000608) 7.01元 +4.78%        凤凰股份(600716) 3.53元 +3.82%        市北高新(600604) 4.36元 +3.81%      
  19  BK0451    房地产开发               0.83%     +3.42亿  万通发展(600246) 19.78元 10.60亿        合肥城建(002208) 15.35元 8.73亿         盈新发展(000620) 3.15元 6.64亿          万通发展(600246) 19.78元 +10.01%      空港股份(600463) 8.35元 +6.51%        阳光股份(000608) 7.02元 +4.93%        凤凰股份(600716) 3.53元 +3.82%        市北高新(600604) 4.36元 +3.81%      
  20  BK1221    数字媒体                 2.09%     +3.29亿  昆仑万维(300418) 49.34元 31.21亿        中文在线(300364) 23.52元 5.21亿         风语筑(603466) 12.10元 4.49亿           昆仑万维(300418) 49.34元 +7.00%       掌阅科技(603533) 19.34元 +3.92%       川网传媒(300987) 13.06元 +3.49%       值得买(300785) 35.90元 +3.16%         生 意 宝(002095) 13.62元 +2.87%     
  21  BK1222    影视院线                 3.67%     +3.17亿  光线传媒(300251) 13.12元 13.94亿        儒意电影(002739) 10.32元 8.02亿         幸福蓝海(300528) 16.96元 4.80亿         儒意电影(002739) 10.32元 +10.02%      欢瑞世纪(000892) 3.87元 +9.94%        上海电影(601595) 17.59元 +6.54%       光线传媒(300251) 13.16元 +6.21%       北京文化(000802) 3.85元 +4.05%      
  22  BK0436    纺织服饰                 0.97%     +3.17亿  孚日股份(002083) 10.65元 4.81亿         兴业科技(002674) 26.09元 4.36亿         富春染织(605189) 15.81元 4.31亿         孚日股份(002083) 10.65元 +10.02%      万里马(300591) 7.37元 +20.03%         *ST起步(603557) 4.13元 +4.03%         酷特智能(300840) 18.96元 +3.83%       迪阿股份(301177) 22.26元 +3.82%     
  23  BK1287    工业金属                 0.41%     +2.88亿  紫金矿业(601899) 29.46元 40.60亿        洛阳钼业(603993) 18.33元 26.26亿        云铝股份(000807) 25.75元 16.79亿        鹏欣资源(600490) 6.27元 +6.63%        金诚信(603979) 67.94元 +5.30%         华钰矿业(601020) 19.70元 +4.68%       西部矿业(601168) 34.46元 +3.86%       白银有色(601212) 4.83元 +2.99%      
  24  BK1526    底盘与发动机系统         0.94%     +2.77亿  飞龙股份(002536) 56.12元 14.54亿        双环传动(002472) 42.36元 11.23亿        拓普集团(601689) 55.00元 8.90亿         长源东谷(603950) 69.44元 +10.00%      圣龙股份(603178) 15.74元 +9.99%       雪龙集团(603949) 14.75元 +7.19%       西菱动力(300733) 12.30元 +4.33%       光洋股份(002708) 10.90元 +3.81%     
  25  BK0545    通用设备                -0.19%     +2.76亿  精测电子(300567) 276.92元 29.37亿       精智达(688627) 600.98元 16.00亿         铂力特(688333) 113.49元 12.97亿         凤形股份(002760) 17.97元 +9.98%       N龙鑫(920117) 37.31元 +109.25%        开创电气(301448) 43.88元 +9.73%       万讯自控(300112) 6.63元 +6.42%        丰光精密(920510) 30.02元 +6.08%     
  26  BK1346    住宅开发                 0.69%     +2.64亿  万通发展(600246) 19.78元 10.63亿        合肥城建(002208) 15.34元 8.74亿         盈新发展(000620) 3.15元 6.65亿          万通发展(600246) 19.78元 +10.01%      凤凰股份(600716) 3.53元 +3.82%        沙河股份(000014) 9.43元 +3.74%        首开股份(600376) 3.42元 +3.64%        新黄浦(600638) 4.71元 +3.29%        
  27  BK1294    门户网站                 2.15%     +2.38亿  昆仑万维(300418) 49.29元 31.30亿        值得买(300785) 35.91元 1.87亿           人民网(603000) 16.02元 1.46亿           昆仑万维(300418) 49.29元 +6.90%       川网传媒(300987) 13.06元 +3.49%       值得买(300785) 35.91元 +3.19%         生 意 宝(002095) 13.62元 +2.87%       卓创资讯(301299) 43.10元 +1.82%     
  28  BK1529    汽车电子电气系统         1.20%     +2.08亿  鑫宏业(301310) 64.12元 5.41亿           天海电子(001365) 43.25元 4.19亿         新泉股份(603179) 45.76元 3.93亿         天海电子(001365) 43.25元 +9.99%       光庭信息(301221) 28.06元 +4.55%       沪光股份(605333) 16.76元 +4.23%       菱电电控(688667) 104.90元 +3.87%      众泰汽车(000980) 1.73元 +3.59%      
  29  BK1398    其他通用设备             0.17%     +1.97亿  铂力特(688333) 113.34元 12.98亿         大元泵业(603757) 80.00元 8.34亿         昊志机电(300503) 82.52元 7.61亿         N龙鑫(920117) 37.40元 +109.76%        开创电气(301448) 43.88元 +9.73%       磁谷科技(688448) 56.18元 +5.05%       瑜欣电子(301107) 19.90元 +4.68%       大元泵业(603757) 80.00元 +3.90%     
  30  BK0458    仪器仪表                -0.56%     +1.92亿  精测电子(300567) 276.00元 29.40亿       精智达(688627) 599.00元 16.01亿         联讯仪器(688808) 2019.91元 10.78亿      万讯自控(300112) 6.62元 +6.26%        *ST东智(002175) 2.69元 +3.46%         迈拓股份(301006) 12.91元 +2.70%       日月明(300906) 24.63元 +2.11%         东方中科(002819) 20.07元 +2.09%     
