行业主力净流出 TOP30 | 成交额TOP3 + 涨幅TOP5 | 20260716_103612

排名  代码      名称                    涨跌幅      净流入  成交额#1                                成交额#2                                成交额#3                                涨幅#1                                涨幅#2                                涨幅#3                                涨幅#4                                涨幅#5                              
  16  BK1594    化学制剂                 1.04%    -11.28亿  恒瑞医药(600276) 57.15元 37.32亿        常山药业(300255) 30.47元 15.74亿        科伦药业(002422) 49.78元 14.89亿        哈药股份(600664) 4.94元 +10.02%       海创药业-U(688302) 43.88元 +11.12%    海南海药(000566) 5.53元 +7.38%        泽璟制药-U(688266) 142.15元 +7.10%    常山药业(300255) 30.47元 +6.17%     
  17  BK1592    通信线缆及配套          -1.82%    -11.04亿  亨通光电(600487) 67.66元 61.38亿        长飞光纤(601869) 402.75元 39.63亿       中天科技(600522) 39.35元 33.00亿        神宇股份(300563) 24.34元 +0.95%       汇源通信(000586) 11.77元 +0.60%       华脉科技(603042) 11.98元 +0.50%       兆龙互连(300913) 36.81元 +0.49%       特发信息(000070) 15.31元 -1.86%     
  18  BK0465    化学制药                 1.24%    -10.17亿  恒瑞医药(600276) 57.10元 37.37亿        美诺华(603538) 41.80元 26.82亿          常山药业(300255) 30.53元 15.78亿        哈药股份(600664) 4.94元 +10.02%       永安药业(002365) 13.18元 +10.02%      博瑞医药(688166) 40.01元 +12.90%      海创药业-U(688302) 43.88元 +11.12%    富祥股份(300497) 19.07元 +7.56%     
  19  BK1205    机械设备                 0.26%    -10.16亿  华工科技(000988) 135.40元 50.43亿       埃斯顿(002747) 42.46元 30.03亿          精测电子(300567) 278.78元 28.29亿       凤形股份(002760) 17.97元 +9.98%       N龙鑫(920117) 37.88元 +112.45%        凯尔达(688255) 26.44元 +10.40%        开创电气(301448) 43.47元 +8.70%       创世纪(300083) 12.47元 +7.50%       
  20  BK1328    集成电路封测            -4.05%     -9.12亿  通富微电(002156) 76.89元 107.71亿       长电科技(600584) 85.92元 91.63亿        华天科技(002185) 20.81元 77.20亿        华岭股份(920139) 15.67元 +0.06%       晶方科技(603005) 36.25元 -2.03%       通富微电(002156) 76.89元 -2.31%       甬矽电子(688362) 83.34元 -2.64%       伟测科技(688372) 143.88元 -2.84%    
  21  BK1206    基础化工                 0.02%     -8.70亿  多氟多(002407) 33.27元 13.89亿          东材科技(601208) 50.58元 12.28亿        昊华科技(600378) 50.04元 10.25亿        沃顿科技(000920) 14.15元 +10.03%      长裕集团(603407) 65.64元 +10.01%      道明光学(002632) 9.63元 +10.06%       艾艾精工(603580) 40.84元 +9.99%       天铁科技(300587) 4.04元 +13.80%     
  22  BK1237    自动化设备               0.06%     -8.57亿  华工科技(000988) 135.30元 50.46亿       埃斯顿(002747) 42.41元 30.04亿          绿的谐波(688017) 390.86元 23.30亿       凯尔达(688255) 26.62元 +11.15%        创世纪(300083) 12.46元 +7.41%         迈赫股份(301199) 20.22元 +6.98%       新睿电子(920211) 157.20元 +6.94%      智信精密(301512) 41.68元 +5.33%     
  23  BK0546    玻璃玻纤                -1.33%     -8.12亿  中国巨石(600176) 50.09元 45.74亿        国际复材(301526) 35.98元 27.33亿        中材科技(002080) 63.20元 16.08亿        耀皮玻璃(600819) 5.15元 +1.98%        振石股份(601112) 15.63元 +1.36%       凯盛新能(600876) 6.68元 +0.91%        北玻股份(002613) 3.23元 +0.00%        九鼎新材(002201) 8.08元 -0.12%      
  24  BK1208    建筑材料                 0.42%     -7.99亿  中国巨石(600176) 50.09元 45.74亿        国际复材(301526) 35.98元 27.33亿        中材科技(002080) 63.20元 16.08亿        华立股份(603038) 15.25元 +5.76%       兔 宝 宝(002043) 12.00元 +5.36%       三棵树(603737) 23.92元 +4.55%         万里石(002785) 39.45元 +4.45%         北新建材(000786) 18.32元 +3.21%     
  25  BK1462    玻纤制造                -2.55%     -7.87亿  中国巨石(600176) 50.08元 45.74亿        国际复材(301526) 35.99元 27.33亿        中材科技(002080) 63.20元 16.08亿        振石股份(601112) 15.63元 +1.36%       九鼎新材(002201) 8.08元 -0.12%        宏和科技(603256) 185.60元 -2.42%      国际复材(301526) 35.99元 -2.73%       长海股份(300196) 18.94元 -2.77%     
  26  BK0478    有色金属                 0.17%     -7.85亿  紫金矿业(601899) 29.54元 39.32亿        洛阳钼业(603993) 18.38元 25.87亿        云铝股份(000807) 25.84元 16.52亿        鹏欣资源(600490) 6.28元 +6.80%        赤峰黄金(600988) 35.47元 +6.20%       金诚信(603979) 67.96元 +5.33%         华钰矿业(601020) 19.73元 +4.84%       西部矿业(601168) 34.37元 +3.59%     
  27  BK1033    电池                    -0.14%     -7.66亿  宁德时代(300750) 373.60元 40.68亿       铜冠铜箔(301217) 130.30元 25.02亿       鹏辉能源(300438) 64.34元 14.32亿        华盛锂电(688353) 90.13元 +6.89%       珠海冠宇(688772) 15.98元 +3.77%       领湃科技(300530) 16.32元 +3.03%       誉辰智能(688638) 29.98元 +2.81%       滨海能源(000695) 12.12元 +2.80%     
  28  BK1409    激光设备                -1.77%     -7.06亿  华工科技(000988) 135.20元 50.51亿       大族激光(002008) 111.99元 21.11亿       杰普特(688025) 389.00元 7.33亿          金运激光(300220) 10.18元 +1.70%       光韵达(300227) 9.11元 +0.00%          德龙激光(688170) 59.30元 -0.40%       锐科激光(300747) 35.37元 -0.65%       ST逸飞(688646) 69.49元 -0.73%       
  29  BK0475    银行Ⅱ                   -0.34%     -6.54亿  招商银行(600036) 37.80元 14.74亿        工商银行(601398) 7.46元 14.32亿         农业银行(601288) 6.28元 12.56亿         民生银行(600016) 3.48元 +0.29%        南京银行(601009) 11.24元 +0.27%       苏农银行(603323) 4.24元 +0.24%        招商银行(600036) 37.80元 +0.11%       浙商银行(601916) 2.86元 +0.00%      
  30  BK1283    银行                    -0.34%     -6.54亿  招商银行(600036) 37.80元 14.75亿        工商银行(601398) 7.46元 14.32亿         农业银行(601288) 6.28元 12.56亿         民生银行(600016) 3.49元 +0.58%        南京银行(601009) 11.25元 +0.36%       苏农银行(603323) 4.24元 +0.24%        招商银行(600036) 37.80元 +0.11%       苏州银行(002966) 7.91元 +0.00%      
