排名,方向,板块代码,板块名称,涨跌幅,主力净流入,超大单净额,主力净流入占比,成交额第1_代码,成交额第1_名称,成交额第1_现价,成交额第1_涨跌幅,成交额第1_成交额,成交额第2_代码,成交额第2_名称,成交额第2_现价,成交额第2_涨跌幅,成交额第2_成交额,成交额第3_代码,成交额第3_名称,成交额第3_现价,成交额第3_涨跌幅,成交额第3_成交额,涨幅第1_代码,涨幅第1_名称,涨幅第1_现价,涨幅第1_涨跌幅,涨幅第1_成交额,涨幅第2_代码,涨幅第2_名称,涨幅第2_现价,涨幅第2_涨跌幅,涨幅第2_成交额,涨幅第3_代码,涨幅第3_名称,涨幅第3_现价,涨幅第3_涨跌幅,涨幅第3_成交额,涨幅第4_代码,涨幅第4_名称,涨幅第4_现价,涨幅第4_涨跌幅,涨幅第4_成交额,涨幅第5_代码,涨幅第5_名称,涨幅第5_现价,涨幅第5_涨跌幅,涨幅第5_成交额
11,净流出,BK1366,证券Ⅲ,-1.14%,-20.12亿,-15.05亿,-12.34%,300059,东方财富,19.87元,-1.34%,23.50亿,600030,中信证券,28.10元,-1.75%,19.59亿,600909,华安证券,8.71元,-8.32%,13.15亿,000750,国海证券,3.86元,+1.31%,1.85亿,000712,锦龙股份,8.42元,+0.60%,0.56亿,002926,华西证券,8.54元,+0.12%,0.78亿,600095,湘财股份,7.81元,+0.00%,1.05亿,600918,中泰证券,5.70元,-0.18%,1.56亿
12,净流出,BK1325,半导体材料,-3.22%,-17.02亿,-7.76亿,-7.56%,300666,江丰电子,251.61元,-10.82%,42.71亿,002409,雅克科技,162.38元,-5.21%,21.64亿,688126,沪硅产业,30.60元,-1.42%,18.60亿,603991,领先股份,154.23元,+4.03%,6.97亿,688401,路维光电,74.34元,-0.36%,2.87亿,920181,赛英电子,76.71元,-0.66%,0.19亿,688146,中船特气,248.45元,-0.76%,14.94亿,688783,西安奕材-U,44.61元,-0.95%,4.16亿
13,净流出,BK1200,电力设备,0.41%,-15.76亿,-7.27亿,-2.38%,300750,宁德时代,373.64元,+0.17%,40.36亿,002851,麦格米特,153.40元,-9.03%,38.43亿,300274,阳光电源,111.41元,+2.26%,30.57亿,002980,华盛昌,112.35元,+10.00%,11.08亿,002350,北京科锐,16.06元,+10.00%,4.01亿,688353,华盛锂电,90.20元,+6.97%,5.23亿,603489,八方股份,27.55元,+5.68%,1.17亿,688597,煜邦电力,6.96元,+5.14%,0.31亿
14,净流出,BK1039,电子化学品Ⅱ,-2.69%,-13.03亿,-7.89亿,-7.37%,300285,国瓷材料,65.86元,-2.99%,18.26亿,300054,鼎龙股份,75.54元,-3.05%,13.89亿,300346,南大光电,64.18元,-3.76%,13.72亿,300684,中石科技,69.77元,+2.92%,10.08亿,603435,嘉德利,48.74元,+2.65%,0.93亿,688150,莱特光电,50.41元,+1.49%,1.79亿,603002,宏昌电子,18.14元,-0.17%,5.94亿,002584,西陇科学,8.20元,-0.36%,1.62亿
15,净流出,BK1332,电子化学品Ⅲ,-2.69%,-13.03亿,-7.89亿,-7.37%,300285,国瓷材料,65.87元,-2.98%,18.26亿,300054,鼎龙股份,75.60元,-2.98%,13.90亿,300346,南大光电,64.16元,-3.79%,13.72亿,300684,中石科技,69.62元,+2.70%,10.08亿,603435,嘉德利,48.72元,+2.61%,0.93亿,688150,莱特光电,50.41元,+1.49%,1.79亿,603002,宏昌电子,18.13元,-0.22%,5.94亿,002584,西陇科学,8.20元,-0.36%,1.62亿
16,净流出,BK1594,化学制剂,1.04%,-11.28亿,-7.05亿,-3.30%,600276,恒瑞医药,57.15元,-0.61%,37.32亿,300255,常山药业,30.47元,+6.17%,15.74亿,002422,科伦药业,49.78元,+1.45%,14.89亿,600664,哈药股份,4.94元,+10.02%,14.12亿,688302,海创药业-U,43.88元,+11.12%,1.54亿,000566,海南海药,5.53元,+7.38%,12.51亿,688266,泽璟制药-U,142.15元,+7.10%,10.05亿,300255,常山药业,30.47元,+6.17%,15.74亿
17,净流出,BK1592,通信线缆及配套,-1.82%,-11.04亿,-7.10亿,-6.38%,600487,亨通光电,67.66元,-4.77%,61.38亿,601869,长飞光纤,402.75元,-5.34%,39.63亿,600522,中天科技,39.35元,-3.32%,33.00亿,300563,神宇股份,24.34元,+0.95%,0.43亿,000586,汇源通信,11.77元,+0.60%,0.28亿,603042,华脉科技,11.98元,+0.50%,1.19亿,300913,兆龙互连,36.81元,+0.49%,0.94亿,000070,特发信息,15.31元,-1.86%,3.55亿
18,净流出,BK0465,化学制药,1.24%,-10.17亿,-6.31亿,-2.32%,600276,恒瑞医药,57.10元,-0.70%,37.37亿,603538,美诺华,41.80元,+7.18%,26.82亿,300255,常山药业,30.53元,+6.38%,15.78亿,600664,哈药股份,4.94元,+10.02%,14.12亿,002365,永安药业,13.18元,+10.02%,3.10亿,688166,博瑞医药,40.01元,+12.90%,11.59亿,688302,海创药业-U,43.88元,+11.12%,1.54亿,300497,富祥股份,19.07元,+7.56%,8.28亿
19,净流出,BK1205,机械设备,0.26%,-10.16亿,-5.53亿,-1.30%,000988,华工科技,135.40元,-6.76%,50.43亿,002747,埃斯顿,42.46元,+3.81%,30.03亿,300567,精测电子,278.78元,-6.17%,28.29亿,002760,凤形股份,17.97元,+9.98%,1.05亿,920117,N龙鑫,37.88元,+112.45%,4.77亿,688255,凯尔达,26.44元,+10.40%,1.98亿,301448,开创电气,43.47元,+8.70%,0.96亿,300083,创世纪,12.47元,+7.50%,12.38亿
20,净流出,BK1328,集成电路封测,-4.05%,-9.12亿,-4.39亿,-2.86%,002156,通富微电,76.89元,-2.31%,107.71亿,600584,长电科技,85.92元,-7.07%,91.63亿,002185,华天科技,20.81元,-9.95%,77.20亿,920139,华岭股份,15.67元,+0.06%,0.25亿,603005,晶方科技,36.25元,-2.03%,8.63亿,002156,通富微电,76.89元,-2.31%,107.71亿,688362,甬矽电子,83.34元,-2.64%,12.04亿,688372,伟测科技,143.88元,-2.84%,7.16亿
21,净流出,BK1206,基础化工,0.02%,-8.70亿,-5.66亿,-1.96%,002407,多氟多,33.27元,-1.80%,13.89亿,601208,东材科技,50.58元,-1.77%,12.28亿,600378,昊华科技,50.04元,-3.82%,10.25亿,000920,沃顿科技,14.15元,+10.03%,2.11亿,603407,长裕集团,65.64元,+10.01%,1.71亿,002632,道明光学,9.63元,+10.06%,1.16亿,603580,艾艾精工,40.84元,+9.99%,0.05亿,300587,天铁科技,4.04元,+13.80%,1.77亿
22,净流出,BK1237,自动化设备,0.06%,-8.57亿,-4.88亿,-3.39%,000988,华工科技,135.30元,-6.82%,50.46亿,002747,埃斯顿,42.41元,+3.69%,30.04亿,688017,绿的谐波,390.86元,+1.24%,23.30亿,688255,凯尔达,26.62元,+11.15%,1.99亿,300083,创世纪,12.46元,+7.41%,12.38亿,301199,迈赫股份,20.22元,+6.98%,0.77亿,920211,新睿电子,157.20元,+6.94%,1.43亿,301512,智信精密,41.68元,+5.33%,0.37亿
23,净流出,BK0546,玻璃玻纤,-1.33%,-8.12亿,-3.51亿,-7.24%,600176,中国巨石,50.09元,-5.49%,45.74亿,301526,国际复材,35.98元,-2.76%,27.33亿,002080,中材科技,63.20元,-6.54%,16.08亿,600819,耀皮玻璃,5.15元,+1.98%,0.26亿,601112,振石股份,15.63元,+1.36%,0.36亿,600876,凯盛新能,6.68元,+0.91%,0.09亿,002613,北玻股份,3.23元,+0.00%,0.36亿,002201,九鼎新材,8.08元,-0.12%,0.50亿
24,净流出,BK1208,建筑材料,0.42%,-7.99亿,-3.67亿,-5.60%,600176,中国巨石,50.09元,-5.49%,45.74亿,301526,国际复材,35.98元,-2.76%,27.33亿,002080,中材科技,63.20元,-6.54%,16.08亿,603038,华立股份,15.25元,+5.76%,0.64亿,002043,兔 宝 宝,12.00元,+5.36%,1.05亿,603737,三棵树,23.92元,+4.55%,1.63亿,002785,万里石,39.45元,+4.45%,1.83亿,000786,北新建材,18.32元,+3.21%,1.71亿
25,净流出,BK1462,玻纤制造,-2.55%,-7.87亿,-3.37亿,-7.33%,600176,中国巨石,50.08元,-5.51%,45.74亿,301526,国际复材,35.99元,-2.73%,27.33亿,002080,中材科技,63.20元,-6.54%,16.08亿,601112,振石股份,15.63元,+1.36%,0.36亿,002201,九鼎新材,8.08元,-0.12%,0.50亿,603256,宏和科技,185.60元,-2.42%,15.35亿,301526,国际复材,35.99元,-2.73%,27.33亿,300196,长海股份,18.94元,-2.77%,1.39亿
26,净流出,BK0478,有色金属,0.17%,-7.85亿,-4.83亿,-1.64%,601899,紫金矿业,29.54元,+2.46%,39.32亿,603993,洛阳钼业,18.38元,+2.62%,25.87亿,000807,云铝股份,25.84元,-1.00%,16.52亿,600490,鹏欣资源,6.28元,+6.80%,1.84亿,600988,赤峰黄金,35.47元,+6.20%,12.96亿,603979,金诚信,67.96元,+5.33%,4.41亿,601020,华钰矿业,19.73元,+4.84%,2.86亿,601168,西部矿业,34.37元,+3.59%,11.65亿
27,净流出,BK1033,电池,-0.14%,-7.66亿,-4.25亿,-2.99%,300750,宁德时代,373.60元,+0.16%,40.68亿,301217,铜冠铜箔,130.30元,+2.28%,25.02亿,300438,鹏辉能源,64.34元,-6.77%,14.32亿,688353,华盛锂电,90.13元,+6.89%,5.24亿,688772,珠海冠宇,15.98元,+3.77%,2.89亿,300530,领湃科技,16.32元,+3.03%,0.19亿,688638,誉辰智能,29.98元,+2.81%,0.07亿,000695,滨海能源,12.12元,+2.80%,0.49亿
28,净流出,BK1409,激光设备,-1.77%,-7.06亿,-3.16亿,-7.82%,000988,华工科技,135.20元,-6.89%,50.51亿,002008,大族激光,111.99元,-2.07%,21.11亿,688025,杰普特,389.00元,-4.43%,7.33亿,300220,金运激光,10.18元,+1.70%,0.14亿,300227,光韵达,9.11元,+0.00%,0.61亿,688170,德龙激光,59.30元,-0.40%,1.18亿,300747,锐科激光,35.37元,-0.65%,3.19亿,688646,ST逸飞,69.49元,-0.73%,0.19亿
29,净流出,BK0475,银行Ⅱ,-0.34%,-6.54亿,-3.41亿,-4.93%,600036,招商银行,37.80元,+0.11%,14.74亿,601398,工商银行,7.46元,-0.67%,14.32亿,601288,农业银行,6.28元,-1.41%,12.56亿,600016,民生银行,3.48元,+0.29%,5.28亿,601009,南京银行,11.24元,+0.27%,2.33亿,603323,苏农银行,4.24元,+0.24%,0.70亿,600036,招商银行,37.80元,+0.11%,14.74亿,601916,浙商银行,2.86元,+0.00%,1.86亿
30,净流出,BK1283,银行,-0.34%,-6.54亿,-3.41亿,-4.93%,600036,招商银行,37.80元,+0.11%,14.75亿,601398,工商银行,7.46元,-0.67%,14.32亿,601288,农业银行,6.28元,-1.41%,12.56亿,600016,民生银行,3.49元,+0.58%,5.28亿,601009,南京银行,11.25元,+0.36%,2.33亿,603323,苏农银行,4.24元,+0.24%,0.70亿,600036,招商银行,37.80元,+0.11%,14.75亿,002966,苏州银行,7.91元,+0.00%,1.51亿
