行业主力净流入 TOP30 | 成交额TOP3 + 涨幅TOP5 | 北京时间 2026-07-16 11:13:12

排名  代码      名称                    涨跌幅      净流入  成交额#1                                成交额#2                                成交额#3                                涨幅#1                                涨幅#2                                涨幅#3                                涨幅#4                                涨幅#5                              
  16  BK1593    通信终端及配件           1.04%     +5.28亿  剑桥科技(603083) 203.99元 25.65亿       共进股份(603118) 13.88元 11.28亿        广和通(300638) 20.79元 9.03亿           美格智能(002881) 39.05元 +10.00%      广和通(300638) 20.79元 +14.36%        共进股份(603118) 13.88元 +7.85%       利尔达(920249) 9.42元 +5.96%          移远通信(603236) 53.33元 +5.13%     
  17  BK1220    广告营销                 3.49%     +5.19亿  蓝色光标(300058) 13.21元 30.07亿        天娱数科(002354) 7.96元 18.42亿         易点天下(301171) 29.58元 7.56亿         智度股份(000676) 6.22元 +10.09%       电声股份(300805) 8.63元 +17.26%       兆讯传媒(301102) 9.55元 +5.18%        福石控股(300071) 4.67元 +4.71%        蓝色光标(300058) 13.21元 +4.18%     
  18  BK1293    营销代理                 3.48%     +4.99亿  蓝色光标(300058) 13.21元 30.07亿        天娱数科(002354) 7.97元 18.42亿         易点天下(301171) 29.58元 7.56亿         智度股份(000676) 6.22元 +10.09%       电声股份(300805) 8.63元 +17.26%       福石控股(300071) 4.67元 +4.71%        蓝色光标(300058) 13.21元 +4.18%       元隆雅图(002878) 11.79元 +4.15%     
  19  BK1329    集成电路制造             0.17%     +4.91亿  中芯国际(688981) 156.32元 86.26亿       华虹宏力(688347) 340.54元 53.98亿       盛合晶微(688820) 171.11元 17.91亿       华虹宏力(688347) 340.06元 +2.61%      中芯国际(688981) 156.32元 +1.74%      晶合集成(688249) 50.87元 +1.05%       盛合晶微(688820) 171.11元 +0.65%      赛微电子(300456) 34.13元 +0.00%     
  20  BK1202    房地产                   1.17%     +4.85亿  万通发展(600246) 19.78元 11.00亿        合肥城建(002208) 15.35元 9.54亿         盈新发展(000620) 3.14元 7.17亿          万通发展(600246) 19.78元 +10.01%      沙河股份(000014) 10.00元 +10.01%      空港股份(600463) 8.30元 +5.87%        深物业A(000011) 6.78元 +5.28%         特发服务(300917) 25.02元 +5.26%     
  21  BK0451    房地产开发               1.19%     +4.74亿  万通发展(600246) 19.78元 11.00亿        合肥城建(002208) 15.36元 9.54亿         盈新发展(000620) 3.15元 7.17亿          万通发展(600246) 19.78元 +10.01%      沙河股份(000014) 10.00元 +10.01%      空港股份(600463) 8.30元 +5.87%        深物业A(000011) 6.80元 +5.59%         天健集团(000090) 3.34元 +5.03%      
  22  BK1221    数字媒体                 2.38%     +4.41亿  昆仑万维(300418) 49.15元 37.54亿        风语筑(603466) 12.38元 6.40亿           中文在线(300364) 23.56元 6.23亿         昆仑万维(300418) 49.12元 +6.53%       掌阅科技(603533) 19.46元 +4.57%       川网传媒(300987) 13.09元 +3.72%       风语筑(603466) 12.38元 +3.69%         芒果超媒(300413) 15.58元 +3.18%     
  23  BK1222    影视院线                 4.64%     +4.01亿  光线传媒(300251) 13.26元 15.40亿        儒意电影(002739) 10.32元 8.13亿         幸福蓝海(300528) 17.24元 5.75亿         儒意电影(002739) 10.32元 +10.02%      欢瑞世纪(000892) 3.87元 +9.94%        上海电影(601595) 18.16元 +9.99%       光线传媒(300251) 13.26元 +7.02%       百纳千成(300291) 5.03元 +5.23%      
  24  BK1287    工业金属                 0.32%     +3.92亿  紫金矿业(601899) 29.51元 48.06亿        洛阳钼业(603993) 18.45元 29.30亿        云铝股份(000807) 25.55元 18.60亿        鹏欣资源(600490) 6.24元 +6.12%        金诚信(603979) 67.24元 +4.22%         西部矿业(601168) 34.45元 +3.83%       华钰矿业(601020) 19.52元 +3.72%       鑫源智造(600615) 9.04元 +3.20%      
  25  BK1346    住宅开发                 1.14%     +3.72亿  万通发展(600246) 19.78元 11.00亿        合肥城建(002208) 15.35元 9.55亿         盈新发展(000620) 3.14元 7.17亿          万通发展(600246) 19.78元 +10.01%      沙河股份(000014) 10.00元 +10.01%      深物业A(000011) 6.81元 +5.75%         天健集团(000090) 3.33元 +4.72%        凤凰股份(600716) 3.54元 +4.12%      
  26  BK0545    通用设备                -0.02%     +3.24亿  精测电子(300567) 267.45元 33.40亿       精智达(688627) 601.82元 18.88亿         铂力特(688333) 113.06元 14.47亿         凤形股份(002760) 17.97元 +9.98%       N龙鑫(920117) 37.01元 +107.57%        开创电气(301448) 44.55元 +11.40%      丰光精密(920510) 30.19元 +6.68%       大元泵业(603757) 81.66元 +6.05%     
  27  BK1526    底盘与发动机系统         1.11%     +3.20亿  飞龙股份(002536) 55.93元 16.90亿        双环传动(002472) 42.27元 12.24亿        拓普集团(601689) 54.99元 9.97亿         长源东谷(603950) 69.44元 +10.00%      圣龙股份(603178) 15.74元 +9.99%       雪龙集团(603949) 14.53元 +5.60%       西菱动力(300733) 12.28元 +4.16%       林泰新材(920106) 37.10元 +4.04%     
  28  BK1294    门户网站                 2.15%     +3.12亿  昆仑万维(300418) 49.13元 37.55亿        值得买(300785) 35.79元 2.03亿           人民网(603000) 16.03元 1.67亿           昆仑万维(300418) 49.14元 +6.57%       川网传媒(300987) 13.09元 +3.72%       生 意 宝(002095) 13.63元 +2.95%       值得买(300785) 35.79元 +2.84%         卓创资讯(301299) 43.07元 +1.75%     
  29  BK0436    纺织服饰                 1.08%     +3.06亿  孚日股份(002083) 10.65元 4.98亿         兴业科技(002674) 25.99元 4.86亿         富春染织(605189) 15.88元 4.62亿         孚日股份(002083) 10.65元 +10.02%      万里马(300591) 7.37元 +20.03%         *ST起步(603557) 4.18元 +5.29%         迪阿股份(301177) 22.40元 +4.48%       ST际华(601718) 1.86元 +3.91%        
  30  BK1448    横向通用软件             1.08%     +2.92亿  金山办公(688111) 237.58元 18.28亿       深信服(300454) 113.87元 17.94亿         科大讯飞(002230) 42.22元 11.71亿        汉仪股份(301270) 28.60元 +5.07%       深信服(300454) 113.87元 +4.66%        每日互动(300766) 21.44元 +4.33%       万兴科技(300624) 50.61元 +3.52%       山石网科(688030) 14.23元 +3.27%     
